PGPR,Dpi,Gene,Rep,Cq
P. fluorescens,1,PR1,1,20.87
P. fluorescens,1,PR1,2,20.81
P. fluorescens,1,PR1,3,21.05
P. fluorescens,1,PR4,1,26.68
P. fluorescens,1,PR4,2,26.85
P. fluorescens,1,PR4,3,27
P. fluorescens,1,PR5,1,21.1
P. fluorescens,1,PR5,2,21.25
P. fluorescens,1,PR5,3,21.13
P. fluorescens,1,UBQ,1,24.12
P. fluorescens,1,UBQ,2,24.22
P. fluorescens,1,UBQ,3,24.08
P. fluorescens,4,PR1,1,26.2
P. fluorescens,4,PR1,2,25.87
P. fluorescens,4,PR1,3,26.04
P. fluorescens,4,PR4,1,28.6
P. fluorescens,4,PR4,2,28.49
P. fluorescens,4,PR4,3,28.53
P. fluorescens,4,PR5,1,22.11
P. fluorescens,4,PR5,2,22.16
P. fluorescens,4,PR5,3,22.17
P. fluorescens,4,UBQ,1,24.45
P. fluorescens,4,UBQ,2,24.51
P. fluorescens,4,UBQ,3,24.53
P. fluorescens,7,PR1,1,25.72
P. fluorescens,7,PR1,2,25.81
P. fluorescens,7,PR1,3,25.69
P. fluorescens,7,PR4,1,28.4
P. fluorescens,7,PR4,2,28.32
P. fluorescens,7,PR4,3,28.49
P. fluorescens,7,PR5,1,21.43
P. fluorescens,7,PR5,2,21.27
P. fluorescens,7,PR5,3,21.29
P. fluorescens,7,UBQ,1,24.37
P. fluorescens,7,UBQ,2,24.46
P. fluorescens,7,UBQ,3,24.37
S. marcescens,1,PR1,1,26.49
S. marcescens,1,PR1,2,26.44
S. marcescens,1,PR1,3,26.34
S. marcescens,1,PR4,1,28.1
S. marcescens,1,PR4,2,27.56
S. marcescens,1,PR4,3,27.97
S. marcescens,1,PR5,1,23.08
S. marcescens,1,PR5,2,23.14
S. marcescens,1,PR5,3,23.09
S. marcescens,1,UBQ,1,24.25
S. marcescens,1,UBQ,2,24.21
S. marcescens,1,UBQ,3,24.3
S. marcescens,4,PR1,1,26.26
S. marcescens,4,PR1,2,26.35
S. marcescens,4,PR1,3,26.39
S. marcescens,4,PR4,1,28.17
S. marcescens,4,PR4,2,28.28
S. marcescens,4,PR4,3,28.37
S. marcescens,4,PR5,1,22.09
S. marcescens,4,PR5,2,22.37
S. marcescens,4,PR5,3,22.17
S. marcescens,4,UBQ,1,24.85
S. marcescens,4,UBQ,2,24.69
S. marcescens,4,UBQ,3,24.57
S. marcescens,7,PR1,1,25.99
S. marcescens,7,PR1,2,26.05
S. marcescens,7,PR1,3,26.07
S. marcescens,7,PR4,1,27.69
S. marcescens,7,PR4,2,27.46
S. marcescens,7,PR4,3,27.92
S. marcescens,7,PR5,1,21.26
S. marcescens,7,PR5,2,21.15
S. marcescens,7,PR5,3,21.13
S. marcescens,7,UBQ,1,24.06
S. marcescens,7,UBQ,2,24.21
S. marcescens,7,UBQ,3,24.21
B. subtilis,1,PR1,1,26.57
B. subtilis,1,PR1,2,26.75
B. subtilis,1,PR1,3,26.57
B. subtilis,1,PR4,1,27.78
B. subtilis,1,PR4,2,27.6
B. subtilis,1,PR4,3,27.83
B. subtilis,1,PR5,1,22.4
B. subtilis,1,PR5,2,22.43
B. subtilis,1,PR5,3,22.42
B. subtilis,1,UBQ,1,24.24
B. subtilis,1,UBQ,2,24.32
B. subtilis,1,UBQ,3,24.28
B. subtilis,4,PR1,1,25.53
B. subtilis,4,PR1,2,25.53
B. subtilis,4,PR1,3,25.36
B. subtilis,4,PR4,1,27.84
B. subtilis,4,PR4,2,27.68
B. subtilis,4,PR4,3,27.6
B. subtilis,4,PR5,1,21.97
B. subtilis,4,PR5,2,22.05
B. subtilis,4,PR5,3,21.98
B. subtilis,4,UBQ,1,23.88
B. subtilis,4,UBQ,2,23.97
B. subtilis,4,UBQ,3,23.95
B. subtilis,7,PR1,1,25.85
B. subtilis,7,PR1,2,25.58
B. subtilis,7,PR1,3,25.63
B. subtilis,7,PR4,1,27.43
B. subtilis,7,PR4,2,28.12
B. subtilis,7,PR4,3,27.72
B. subtilis,7,PR5,1,20.84
B. subtilis,7,PR5,2,20.95
B. subtilis,7,PR5,3,21.05
B. subtilis,7,UBQ,1,23.77
B. subtilis,7,UBQ,2,23.85
B. subtilis,7,UBQ,3,23.65
Control,1,PR1,1,24.59
Control,1,PR1,2,24.61
Control,1,PR1,3,24.51
Control,1,PR4,1,26.87
Control,1,PR4,2,27.63
Control,1,PR4,3,27.34
Control,1,PR5,1,22.53
Control,1,PR5,2,22.43
Control,1,PR5,3,22.31
Control,1,UBQ,1,24.11
Control,1,UBQ,2,24.16
Control,1,UBQ,3,24.22
Control,4,PR1,1,26.06
Control,4,PR1,2,25.95
Control,4,PR1,3,25.89
Control,4,PR4,1,27.31
Control,4,PR4,2,27.29
Control,4,PR4,3,26.82
Control,4,PR5,1,21.65
Control,4,PR5,2,21.69
Control,4,PR5,3,21.82
Control,4,UBQ,1,24.02
Control,4,UBQ,2,24.14
Control,4,UBQ,3,24.11
Control,7,PR1,1,25.08
Control,7,PR1,2,25.15
Control,7,PR1,3,25.01
Control,7,PR4,1,27.02
Control,7,PR4,2,26.49
Control,7,PR4,3,27.07
Control,7,PR5,1,21.4
Control,7,PR5,2,21.42
Control,7,PR5,3,21.39
Control,7,UBQ,1,23.78
Control,7,UBQ,2,23.74
Control,7,UBQ,3,23.78
P. fluorescens,1,NPR1,1,22.8
P. fluorescens,1,NPR1,2,22.87
P. fluorescens,1,NPR1,3,22.9
P. fluorescens,1,EDS1,1,21.43
P. fluorescens,1,EDS1,2,21.38
P. fluorescens,1,EDS1,3,21.42
P. fluorescens,1,PAD4,1,22.92
